port,protocol,service,business_use,security_risk,suspicious_pattern,first_investigation_action
22,TCP,SSH,TODO,TODO,TODO,TODO
25,TCP,SMTP,TODO,TODO,TODO,TODO
53,TCP/UDP,DNS,TODO,TODO,TODO,TODO
80,TCP,HTTP,TODO,TODO,TODO,TODO
443,TCP,HTTPS/TLS,TODO,TODO,TODO,TODO
445,TCP,SMB,TODO,TODO,TODO,TODO
3389,TCP/UDP,RDP,TODO,TODO,TODO,TODO
5985,TCP,WinRM HTTP,TODO,TODO,TODO,TODO
5986,TCP,WinRM HTTPS,TODO,TODO,TODO,TODO
